,Gothenburg,Denver,Baltimore,Guadalajara,London,Mexico,Bristol,Cleveland,Eindhoven,Moscow,Charlotte,Lyon,Savannah,Bratislava,Chicago,Geneva,Tallinn,NewYork,Dallas,SouthBend,Boston,Vilnius,Columbus,SaltLakeCity,Phoenix,Tampa,Secaucus,Panama,Groningen,Lausanne,Halifax,Montreal,Palermo,Paris,Seattle,Dronten,ColoradoSprings,Monticello,Asheville,Thessaloniki,SanAntonio,Redding,LaCeiba,
Tallinn,25.58,135.475,106.881,196.192,33.799,164.342,39.598,126.744,29.449,22.466,113.169,45.93,138.864,44.625,113.188,33.25,0.0,104.112,135.736,126.921,103.771,10.143,122.241,158.611,152.655,126.736,99.595,178.713,33.172,32.46,121.574,108.931,62.312,38.916,153.701,26.241,139.681,120.939,125.292,61.839,145.861,189.189,102.092,
NewYork,116.435,45.197,8.501,54.564,70.839,64.205,71.089,31.068,80.43,117.366,15.192,93.037,40.615,95.786,22.532,85.138,104.112,0.0,36.633,19.085,8.558,105.212,19.293,51.156,57.875,34.275,1.859,77.224,86.84,83.633,18.054,8.654,118.241,74.242,75.47,79.422,42.649,24.998,20.561,130.587,44.161,87.132,3.97,
Dallas,140.458,25.251,33.847,29.464,110.2,25.376,109.774,33.511,112.572,153.094,45.174,127.217,43.677,139.711,37.217,128.478,135.736,36.633,0.0,27.84,43.637,146.553,32.308,35.295,24.641,42.29,43.774,79.931,127.712,132.276,53.001,41.01,155.514,113.901,61.134,113.226,42.341,22.768,30.022,175.86,11.48,49.208,38.973,
SouthBend,137.011,28.133,23.601,52.558,83.926,51.519,85.857,19.078,100.905,138.624,24.029,109.068,48.817,118.663,4.48,100.468,126.921,19.085,27.84,0.0,23.242,137.08,11.508,52.134,56.175,36.662,18.212,77.603,104.026,101.618,35.122,20.22,136.257,90.447,58.161,101.616,28.458,10.165,27.834,152.883,33.568,57.98,21.371,
Boston,110.701,47.44,13.905,59.903,75.117,70.674,80.68,29.313,81.501,122.698,23.305,102.361,46.04,93.871,25.395,87.109,103.771,8.558,43.637,23.242,0.0,104.815,25.24,56.982,68.394,37.062,5.591,82.899,93.164,107.898,14.933,17.283,125.402,76.799,66.221,79.788,40.575,26.84,23.737,129.433,42.604,89.319,11.015,
Vilnius,43.247,151.264,128.085,167.306,35.826,170.8,39.79,135.816,31.71,23.236,124.203,46.957,148.863,29.706,127.034,32.33,10.143,105.212,146.553,137.08,104.815,0.0,140.33,155.058,162.19,144.77,101.937,181.975,35.728,32.974,110.484,113.475,63.294,43.371,162.907,30.729,143.915,132.364,135.986,57.991,154.227,194.325,111.701,
Columbus,130.684,37.986,20.765,60.129,84.431,60.533,93.192,28.084,99.853,138.726,28.336,112.891,42.88,116.144,18.207,106.103,122.241,19.293,32.308,11.508,25.24,140.33,0.0,70.702,53.063,32.959,22.82,82.846,97.864,99.511,34.669,17.438,145.019,94.481,71.614,99.561,35.15,15.813,22.56,150.306,39.836,96.34,20.387,
SaltLakeCity,155.522,63.106,59.247,69.275,118.634,91.845,119.57,63.123,137.968,158.156,64.386,138.96,79.961,142.166,48.383,150.471,158.611,51.156,35.295,52.134,56.982,155.058,70.702,0.0,75.119,69.629,47.893,108.452,131.19,143.013,64.212,56.486,191.021,123.893,39.636,120.09,39.219,65.543,58.618,176.708,41.726,33.18,52.897,
Phoenix,166.174,28.995,57.581,39.584,125.702,71.672,128.855,72.203,131.179,172.847,58.505,172.728,73.686,150.028,59.881,141.62,152.655,57.875,24.641,56.175,68.394,162.19,53.063,75.119,0.0,48.99,55.154,107.888,143.371,152.986,69.116,59.555,175.623,131.362,40.957,139.773,40.436,45.149,58.849,189.426,63.288,93.927,55.861,
Tampa,133.668,47.443,32.211,44.628,102.595,53.806,102.874,40.472,107.219,147.341,21.181,117.388,26.934,128.744,34.987,116.895,126.736,34.275,42.29,36.662,37.062,144.77,32.959,69.629,48.99,0.0,28.663,50.906,117.142,121.315,49.685,40.487,149.95,108.653,73.31,106.857,46.165,31.569,21.708,157.118,37.545,89.475,40.904,
Secaucus,115.483,38.362,9.064,54.457,70.726,67.455,69.773,27.635,80.77,113.762,14.856,84.476,39.701,93.494,21.198,84.825,99.595,1.859,43.774,18.212,5.591,101.937,22.82,47.893,55.154,28.663,0.0,76.529,82.473,86.016,17.46,12.506,116.584,73.368,57.862,74.925,39.779,25.945,23.555,119.072,47.189,88.673,3.617,
Panama,201.85,99.662,73.389,95.278,149.183,98.721,147.948,84.334,164.154,185.579,71.596,167.416,69.434,173.707,75.856,160.262,178.713,77.224,79.931,77.603,82.899,181.975,82.846,108.452,107.888,50.906,76.529,0.0,163.281,176.242,92.883,86.142,191.116,151.786,117.344,156.405,100.005,81.108,69.585,207.811,82.982,133.73,80.506,
Groningen,32.19,120.277,98.887,138.08,8.517,142.056,13.237,104.745,7.349,42.795,100.782,25.911,130.201,24.135,101.815,17.954,33.172,86.84,127.712,104.026,93.164,35.728,97.864,131.19,143.371,117.142,82.473,163.281,0.0,27.619,98.559,91.689,49.368,14.632,137.785,5.713,123.571,109.988,107.748,59.202,127.509,165.292,85.458,
Lausanne,47.115,128.285,95.067,142.038,25.903,147.303,23.494,114.876,17.507,54.777,100.864,28.685,130.758,17.66,104.907,8.523,32.46,83.633,132.276,101.618,107.898,32.974,99.511,143.013,152.986,121.315,86.016,176.242,27.619,0.0,107.554,99.767,43.46,12.441,158.767,25.301,128.155,114.452,107.901,53.783,125.245,162.131,96.121,
Halifax,122.688,51.105,24.254,89.689,87.948,82.444,89.481,44.206,93.967,145.197,33.102,104.189,55.085,111.744,34.871,103.009,121.574,18.054,53.001,35.122,14.933,110.484,34.669,64.212,69.116,49.685,17.46,92.883,98.559,107.554,0.0,15.768,129.944,89.892,72.481,93.049,55.515,41.51,34.979,138.795,56.982,95.721,18.76,
Montreal,109.874,38.598,13.925,61.658,83.965,69.314,82.584,36.838,87.215,132.213,20.578,97.333,62.904,99.004,23.83,93.221,108.931,8.654,41.01,20.22,17.283,113.475,17.438,56.486,59.555,40.487,12.506,86.142,91.689,99.767,15.768,0.0,136.186,83.003,56.415,86.512,39.889,26.706,30.959,132.183,54.429,93.893,11.295,
Palermo,82.964,161.807,132.948,181.284,49.802,173.086,50.052,148.204,41.117,68.98,123.733,47.345,159.065,53.316,149.165,33.737,62.312,118.241,155.514,136.257,125.402,63.294,145.019,191.021,175.623,149.95,116.584,191.116,49.368,43.46,129.944,136.186,0.0,37.551,200.103,41.738,179.088,140.629,126.23,89.089,156.967,189.428,123.091,
Paris,43.556,117.11,84.012,128.745,8.321,135.228,11.555,102.362,15.129,49.516,87.733,14.893,115.661,23.113,93.703,11.213,38.916,74.242,113.901,90.447,76.799,43.371,94.481,123.893,131.362,108.653,73.368,151.786,14.632,12.441,89.892,83.003,37.551,0.0,147.905,11.178,117.545,100.227,101.668,59.492,112.516,151.031,79.832,
Seattle,186.808,32.643,67.97,75.036,131.284,63.551,143.192,50.311,141.729,183.29,77.823,153.404,81.939,174.374,55.839,156.6,153.701,75.47,61.134,58.161,66.221,162.907,71.614,39.636,40.957,73.31,57.862,117.344,137.785,158.767,72.481,56.415,200.103,147.905,0.0,158.254,32.337,56.029,72.636,207.262,68.784,40.705,70.727,
Dronten,37.648,126.965,81.808,137.824,6.471,135.544,12.769,100.375,4.438,51.859,98.099,28.714,115.4,21.822,103.454,16.89,26.241,79.422,113.226,101.616,79.788,30.729,99.561,120.09,139.773,106.857,74.925,156.405,5.713,25.301,93.049,86.512,41.738,11.178,158.254,0.0,113.876,99.889,102.28,56.155,118.168,155.245,83.437,
ColoradoSprings,159.024,2.016,45.105,45.126,108.079,45.494,109.949,44.072,120.847,155.047,47.106,124.408,54.716,145.248,27.141,128.596,139.681,42.649,42.341,28.458,40.575,143.915,35.15,39.219,40.436,46.165,39.779,100.005,123.571,128.155,55.515,39.889,179.088,117.545,32.337,113.876,0.0,30.461,49.641,158.302,39.324,43.356,46.175,
Monticello,147.773,29.781,27.787,53.205,92.42,64.891,97.551,38.158,103.329,139.425,28.138,112.811,41.564,123.642,10.003,111.117,120.939,24.998,22.768,10.165,26.84,132.364,15.813,65.543,45.149,31.569,25.945,81.108,109.988,114.452,41.51,26.706,140.629,100.227,56.029,99.889,30.461,0.0,39.393,152.425,40.212,69.77,26.965,
Asheville,128.621,49.982,14.779,42.841,90.285,60.542,90.369,47.696,95.882,137.442,12.213,106.544,35.585,120.245,24.634,99.378,125.292,20.561,30.022,27.834,23.737,135.986,22.56,58.618,58.849,21.708,23.555,69.585,107.748,107.901,34.979,30.959,126.23,101.668,72.636,102.28,49.641,39.393,0.0,159.61,26.798,69.493,22.48,
Thessaloniki,74.404,176.141,138.42,185.955,60.301,195.898,65.329,142.418,57.384,89.419,144.694,72.804,172.477,31.736,153.508,54.087,61.839,130.587,175.86,152.883,129.433,57.991,150.306,176.708,189.426,157.118,119.072,207.811,59.202,53.783,138.795,132.183,89.089,59.492,207.262,56.155,158.302,152.425,159.61,0.0,166.005,217.164,136.973,
SanAntonio,140.893,29.598,36.593,33.896,109.605,40.912,106.495,46.465,119.684,158.561,50.199,132.098,48.692,133.57,36.599,121.816,145.861,44.161,11.48,33.568,42.604,154.227,39.836,41.726,63.288,37.545,47.189,82.982,127.509,125.245,56.982,54.429,156.967,112.516,68.784,118.168,39.324,40.212,26.798,166.005,0.0,67.918,41.973,
Redding,187.36,65.032,81.504,74.286,157.29,75.76,143.235,79.963,168.086,191.794,73.195,173.052,80.499,171.692,54.814,160.466,189.189,87.132,49.208,57.98,89.319,194.325,96.34,33.18,93.927,89.475,88.673,133.73,165.292,162.131,95.721,93.893,189.428,151.031,40.705,155.245,43.356,69.77,69.493,217.164,67.918,0.0,77.761,
LaCeiba,104.415,46.297,13.324,56.237,72.558,64.762,74.582,28.991,80.015,112.922,17.934,95.648,44.896,98.987,22.737,88.048,102.092,3.97,38.973,21.371,11.015,111.701,20.387,52.897,55.861,40.904,3.617,80.506,85.458,96.121,18.76,11.295,123.091,79.832,70.727,83.437,46.175,26.965,22.48,136.973,41.973,77.761,0.0,
